aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
0.208,0.077,-1.229,-90.915,-14.634,-85.54899999999998,None,3,f
0.209,0.067,-1.228,-91.402,-14.755999999999998,-86.037,None,3,f
0.208,0.062,-1.224,-91.707,-15.244000000000002,-86.34100000000002,None,3,f
0.212,0.063,-1.219,-92.012,-15.793,-86.585,None,3,f
0.208,0.067,-1.206,-92.012,-16.340999999999998,-86.76799999999999,None,3,f
0.202,0.07200000000000001,-1.192,-91.951,-16.951,-86.95100000000002,None,3,f
0.202,0.08199999999999999,-1.181,-92.073,-17.744,-86.76799999999999,None,3,f
0.2,0.086,-1.173,-91.89,-18.72,-86.646,None,3,f
0.199,0.086,-1.167,-91.89,-20.305,-86.70700000000002,None,3,f
0.193,0.092,-1.159,-91.768,-22.5,-86.646,None,3,f
0.19,0.1,-1.148,-91.646,-24.695,-86.402,None,3,f
0.189,0.103,-1.127,-91.402,-26.402,-86.098,None,3,f
0.183,0.11,-1.115,-91.098,-27.5,-85.854,None,3,f
0.17600000000000002,0.117,-1.102,-90.61,-27.805,-85.305,None,3,f
0.171,0.12,-1.09,-90.305,-27.744,-84.695,None,3,f
0.168,0.122,-1.071,-90.427,-27.988000000000003,-84.20700000000002,None,3,f
0.163,0.13,-1.063,-90.549,-28.171,-83.72,None,3,f
0.151,0.138,-1.054,-90.793,-27.439,-83.29299999999998,None,3,f
0.131,0.138,-1.033,-91.098,-26.159,-83.04899999999998,None,3,f
0.131,0.134,-1.012,-91.037,-24.146,-82.805,None,3,f
0.122,0.14,-0.996,-90.793,-22.073,-82.31700000000002,None,3,f
0.115,0.14,-0.991,-90.366,-20.305,-81.768,None,3,f
0.102,0.13699999999999998,-0.978,-90.122,-19.146,-81.03699999999998,None,3,f
0.086,0.141,-0.971,-89.87799999999999,-18.476,-80.488,None,3,f
0.07,0.136,-0.959,-89.512,-17.378,-80.183,None,3,f
0.05,0.135,-0.947,-89.20700000000002,-16.28,-79.878,None,3,f
0.031,0.13,-0.942,-89.329,-15.549,-79.45100000000002,None,3,f
0.02,0.124,-0.936,-89.329,-15.549,-78.65899999999998,None,3,f
0.018000000000000002,0.114,-0.931,-89.146,-15.732,-77.866,None,3,f
0.006999999999999999,0.115,-0.923,-89.146,-15.488,-77.5,None,3,f
-0.006,0.112,-0.913,-88.902,-14.939,-77.07300000000002,None,3,f
-0.017,0.113,-0.899,-88.78,-13.902,-76.402,None,3,f
-0.03,0.125,-0.887,-88.415,-12.988,-75.732,None,3,f
-0.045,0.126,-0.8740000000000001,-87.866,-12.5,-75.305,None,3,f
-0.049,0.131,-0.8690000000000001,-87.256,-12.012,-74.57300000000002,None,3,f
-0.052000000000000005,0.13,-0.865,-86.463,-11.707,-74.024,None,3,f
-0.057,0.128,-0.857,-85.854,-12.134,-73.598,None,3,f
-0.061,0.134,-0.8490000000000001,-84.87799999999999,-12.561,-72.988,None,3,f
-0.068,0.135,-0.8370000000000001,-83.84100000000002,-12.683,-72.439,None,3,f
-0.066,0.141,-0.836,-82.805,-12.988,-72.134,None,3,f
-0.068,0.149,-0.8270000000000001,-81.524,-13.659,-71.524,None,3,f
-0.069,0.157,-0.8170000000000001,-80.366,-14.634,-70.488,None,3,f
-0.071,0.16699999999999998,-0.804,-79.085,-15.366,-69.634,None,3,f
-0.07200000000000001,0.175,-0.787,-78.171,-16.037,-68.53699999999999,None,3,f
-0.08,0.191,-0.775,-77.07300000000002,-16.646,-67.805,None,3,f
-0.08,0.205,-0.7609999999999999,-75.915,-17.195,-67.012,None,3,f
-0.078,0.211,-0.752,-74.878,-17.195,-66.28,None,3,f
-0.08,0.218,-0.737,-73.96300000000002,-17.195,-65.61,None,3,f
-0.078,0.224,-0.723,-72.805,-17.073,-65.0,None,3,f
-0.077,0.227,-0.7120000000000001,-72.07300000000002,-17.134,-64.45100000000001,None,3,f
-0.077,0.24,-0.698,-71.585,-17.439,-63.841,None,3,f
-0.08199999999999999,0.239,-0.6970000000000001,-70.915,-17.744,-62.927,None,3,f
-0.092,0.235,-0.691,-70.305,-17.866,-62.195,None,3,f
-0.104,0.226,-0.685,-69.512,-17.805,-61.585,None,3,f
-0.107,0.225,-0.6809999999999999,-68.65899999999999,-17.561,-60.915,None,3,f
-0.112,0.224,-0.6809999999999999,-68.354,-17.683,-60.488,None,3,f
-0.118,0.22,-0.675,-67.988,-18.232,-59.878,None,3,f
-0.118,0.215,-0.672,-67.683,-18.78,-59.268,None,3,f
-0.12,0.213,-0.6729999999999999,-67.378,-18.963,-59.146,None,3,f
-0.121,0.215,-0.6809999999999999,-67.012,-18.72,-58.659,None,3,f
-0.121,0.211,-0.68,-66.46300000000001,-18.049,-58.415,None,3,f
-0.123,0.204,-0.677,-66.22,-17.195,-58.415,None,3,f
-0.122,0.203,-0.682,-65.732,-16.463,-58.17100000000001,None,3,f
-0.122,0.201,-0.6829999999999999,-65.244,-15.793,-58.049,None,3,f
-0.123,0.2,-0.6779999999999999,-64.512,-15.244000000000002,-57.988,None,3,f
-0.121,0.206,-0.679,-63.659,-14.878,-57.927,None,3,f
-0.119,0.208,-0.679,-62.927,-14.329,-57.927,None,3,f
-0.115,0.212,-0.6829999999999999,-62.012,-14.085,-58.049,None,3,f
-0.108,0.218,-0.6829999999999999,-61.402,-13.902,-58.11,None,3,f
-0.104,0.219,-0.684,-60.488,-13.598,-58.17100000000001,None,3,f
-0.086,0.227,-0.6759999999999999,-59.817,-13.963,-58.415,None,3,f
-0.084,0.237,-0.6729999999999999,-58.963,-15.0,-58.293,None,3,f
-0.077,0.244,-0.665,-58.293,-15.976,-57.86600000000001,None,3,f
-0.078,0.257,-0.657,-57.43899999999999,-16.707,-57.5,None,3,f
-0.078,0.27,-0.6409999999999999,-56.463,-16.951,-56.951,None,3,f
-0.075,0.274,-0.633,-55.549,-16.28,-56.707,None,3,f
-0.065,0.282,-0.627,-55.06100000000001,-15.244000000000002,-56.463,None,3,f
-0.064,0.294,-0.629,-54.39,-14.451,-55.793,None,3,f
-0.069,0.303,-0.626,-54.024,-14.39,-54.878,None,3,f
-0.067,0.306,-0.631,-53.841,-13.963,-54.085,None,3,f
-0.067,0.305,-0.629,-53.902,-12.866,-53.049,None,3,f
-0.071,0.298,-0.628,-53.476000000000006,-11.707,-52.073,None,3,f
-0.077,0.299,-0.624,-53.049,-10.366,-51.098,None,3,f
-0.08199999999999999,0.294,-0.625,-52.622,-8.78,-49.93899999999999,None,3,f
-0.09,0.293,-0.627,-51.768,-7.377999999999999,-49.024,None,3,f
-0.106,0.29100000000000004,-0.633,-51.098,-6.646,-47.927,None,3,f
-0.123,0.29,-0.634,-50.36600000000001,-5.61,-46.89,None,3,f
-0.141,0.28800000000000003,-0.634,-49.878,-4.634,-45.793,None,3,f
-0.157,0.29100000000000004,-0.631,-49.207,-3.841,-44.817,None,3,f
-0.177,0.282,-0.638,-48.598,-3.415,-44.024,None,3,f
-0.193,0.276,-0.638,-48.232,-3.537,-43.11,None,3,f
-0.201,0.268,-0.626,-47.86600000000001,-3.5980000000000003,-42.256,None,3,f
-0.22,0.265,-0.626,-47.13399999999999,-4.329,-41.402,None,3,f
-0.232,0.266,-0.616,-46.341,-5.305,-40.793,None,3,f
-0.238,0.27,-0.61,-45.36600000000001,-5.732,-40.183,None,3,f
-0.244,0.273,-0.604,-44.39,-6.28,-39.817,None,3,f
-0.251,0.277,-0.5920000000000001,-43.232,-6.707000000000002,-39.573,None,3,f
-0.257,0.28800000000000003,-0.584,-41.82899999999999,-7.256,-39.451,None,3,f
-0.251,0.293,-0.58,-41.098,-8.232000000000001,-39.146,None,3,f
-0.247,0.3,-0.5710000000000001,-40.061,-9.329,-38.841,None,3,f
-0.242,0.308,-0.562,-38.902,-10.549,-38.537,None,3,f
-0.236,0.311,-0.5579999999999999,-37.805,-11.463,-38.232,None,3,f
-0.223,0.317,-0.552,-36.341,-11.829,-37.805,None,3,f
-0.218,0.327,-0.541,-35.061,-11.037,-37.988,None,3,f
-0.209,0.341,-0.5379999999999999,-34.085,-10.122,-38.293,None,3,f
-0.2,0.348,-0.527,-32.988,-9.634,-38.354,None,3,f
-0.19,0.358,-0.523,-32.378,-9.573,-38.171,None,3,f
-0.18,0.37,-0.519,-32.073,-9.939,-37.744,None,3,f
-0.174,0.377,-0.513,-31.585,-10.549,-36.89,None,3,f
-0.16699999999999998,0.378,-0.508,-30.915,-10.976,-36.159,None,3,f
-0.163,0.379,-0.518,-30.183000000000003,-10.366,-35.671,None,3,f
-0.16699999999999998,0.379,-0.512,-29.695,-9.146,-35.061,None,3,f
-0.16399999999999998,0.379,-0.508,-28.963,-8.476,-34.268,None,3,f
-0.168,0.376,-0.52,-28.293000000000006,-7.805,-33.537,None,3,f
-0.171,0.373,-0.521,-27.805,-6.707000000000002,-32.439,None,3,f
-0.17600000000000002,0.376,-0.528,-27.195,-5.671,-31.585,None,3,f
-0.188,0.383,-0.545,-26.829,-4.146,-30.61,None,3,f
-0.201,0.383,-0.557,-26.402,-2.6830000000000003,-29.756,None,3,f
-0.207,0.373,-0.5710000000000001,-25.915,-0.976,-28.902,None,3,f
-0.215,0.354,-0.5710000000000001,-25.488000000000003,0.366,-28.11,None,3,f
-0.224,0.34,-0.58,-24.878,1.098,-27.073,None,3,f
-0.234,0.331,-0.588,-24.329,1.28,-26.585,None,3,f
-0.249,0.335,-0.588,-23.963,1.22,-25.793000000000006,None,3,f
-0.258,0.341,-0.586,-23.659,0.8540000000000001,-25.0,None,3,f
-0.269,0.345,-0.595,-23.171,1.28,-24.634,None,3,f
-0.269,0.34700000000000003,-0.5920000000000001,-22.988000000000003,2.439,-24.451,None,3,f
