aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.438,-0.07400000000000001,-1.16,76.098,2.317,72.92699999999998,None,4,f
-0.445,-0.073,-1.157,74.57300000000002,3.415,73.232,None,4,f
-0.447,-0.073,-1.166,74.756,4.817,73.84100000000002,None,4,f
-0.436,-0.066,-1.178,74.512,6.22,74.085,None,4,f
-0.436,-0.07,-1.185,73.232,7.195,74.207,None,4,f
-0.442,-0.071,-1.176,71.829,7.866,74.45100000000002,None,4,f
-0.445,-0.071,-1.183,70.976,8.658999999999999,74.817,None,4,f
-0.447,-0.07400000000000001,-1.19,70.305,9.451,75.305,None,4,f
-0.449,-0.08,-1.204,69.085,10.732,75.61,None,4,f
-0.442,-0.083,-1.212,68.11,12.134,75.671,None,4,f
-0.453,-0.083,-1.221,67.378,12.927,75.976,None,4,f
-0.446,-0.08800000000000001,-1.225,66.402,13.476,76.28,None,4,f
-0.438,-0.092,-1.234,65.122,14.39,76.768,None,4,f
-0.444,-0.096,-1.249,63.963,14.939,77.07300000000002,None,4,f
-0.452,-0.106,-1.243,62.86600000000001,16.28,77.256,None,4,f
-0.455,-0.08,-1.241,61.524,16.768,77.622,None,4,f
-0.452,-0.085,-1.273,60.183,16.340999999999998,77.92699999999998,None,4,f
-0.444,-0.093,-1.288,58.72,17.195,78.171,None,4,f
-0.443,-0.099,-1.295,58.354,19.207,78.415,None,4,f
-0.445,-0.099,-1.3019999999999998,57.256,20.427,78.11,None,4,f
-0.438,-0.095,-1.3130000000000002,55.305,20.244,78.11,None,4,f
-0.435,-0.096,-1.308,53.72,18.78,78.476,None,4,f
-0.434,-0.095,-1.319,52.378,18.293,78.72,None,4,f
-0.4270000000000001,-0.085,-1.331,51.28,19.024,78.78,None,4,f
-0.42,-0.087,-1.342,49.695,18.78,78.96300000000002,None,4,f
-0.418,-0.08800000000000001,-1.354,48.415,17.744,78.96300000000002,None,4,f
-0.412,-0.085,-1.349,46.951,16.340999999999998,78.96300000000002,None,4,f
-0.41,-0.08800000000000001,-1.354,45.549,14.573,78.902,None,4,f
-0.398,-0.09,-1.372,44.39,12.012,78.84100000000002,None,4,f
-0.393,-0.095,-1.369,43.17100000000001,9.634,78.598,None,4,f
-0.384,-0.098,-1.3530000000000002,41.89,7.5,78.293,None,4,f
-0.382,-0.073,-1.364,40.976000000000006,5.3660000000000005,77.988,None,4,f
-0.37,-0.078,-1.379,39.695,4.085,77.561,None,4,f
-0.35100000000000003,-0.08199999999999999,-1.382,38.293,2.744,77.134,None,4,f
-0.328,-0.086,-1.394,37.195,0.915,77.134,None,4,f
-0.325,-0.084,-1.38,35.976,-0.976,76.89,None,4,f
-0.328,-0.08800000000000001,-1.379,35.061,-2.073,76.402,None,4,f
-0.308,-0.08900000000000001,-1.39,33.78,-2.317,75.854,None,4,f
-0.29,-0.09,-1.392,32.561,-2.073,75.54899999999998,None,4,f
-0.277,-0.08900000000000001,-1.386,31.89,-2.5610000000000004,75.122,None,4,f
-0.265,-0.086,-1.384,30.854,-2.5,74.756,None,4,f
-0.247,-0.081,-1.3869999999999998,29.939,-1.098,73.96300000000002,None,4,f
-0.234,-0.081,-1.381,28.963,-0.122,73.415,None,4,f
-0.23,-0.073,-1.382,28.049,-0.366,73.04899999999998,None,4,f
-0.227,-0.07400000000000001,-1.376,27.073,-0.061,72.561,None,4,f
-0.224,-0.07200000000000001,-1.375,26.402,0.0,72.012,None,4,f
-0.226,-0.077,-1.379,25.427,0.122,71.524,None,4,f
-0.217,-0.07200000000000001,-1.384,24.756,0.7929999999999999,70.915,None,4,f
-0.214,-0.076,-1.374,23.841,0.5489999999999999,70.488,None,4,f
-0.217,-0.07200000000000001,-1.367,23.232,0.305,70.183,None,4,f
-0.213,-0.066,-1.355,22.744,1.037,69.878,None,4,f
-0.213,-0.068,-1.354,22.012,1.768,69.57300000000001,None,4,f
-0.212,-0.062,-1.36,21.037,2.805,69.146,None,4,f
-0.208,-0.056,-1.3530000000000002,20.244,3.293,68.72,None,4,f
-0.212,-0.052000000000000005,-1.34,19.268,3.78,68.65899999999999,None,4,f
-0.21,-0.053,-1.345,18.537,4.4510000000000005,68.476,None,4,f
-0.199,-0.05,-1.347,17.561,4.939,68.232,None,4,f
-0.202,-0.056,-1.341,16.951,5.061,68.232,None,4,f
-0.195,-0.049,-1.342,15.854,4.573,68.04899999999999,None,4,f
-0.199,-0.045,-1.335,15.122,4.512,67.561,None,4,f
-0.2,-0.051,-1.338,14.512,4.939,66.707,None,4,f
-0.198,-0.048,-1.342,13.72,5.732,66.098,None,4,f
-0.198,-0.047,-1.337,12.927,6.462999999999999,65.54899999999999,None,4,f
-0.198,-0.043,-1.3330000000000002,11.951,6.28,65.366,None,4,f
-0.201,-0.048,-1.328,10.732,6.524,64.939,None,4,f
-0.206,-0.048,-1.336,10.0,7.622000000000001,64.268,None,4,f
-0.202,-0.049,-1.3330000000000002,8.11,10.244000000000002,63.415,None,4,f
-0.205,-0.052000000000000005,-1.334,7.439,10.793,63.72,None,4,f
-0.206,-0.055,-1.334,6.585,9.085,63.659,None,4,f
-0.204,-0.051,-1.325,5.4270000000000005,7.317,63.049,None,4,f
-0.194,-0.052000000000000005,-1.331,3.902,6.524,62.195,None,4,f
-0.185,-0.043,-1.336,2.6830000000000003,6.037000000000001,61.341,None,4,f
-0.19,-0.046,-1.334,1.341,5.671,60.488,None,4,f
-0.191,-0.04,-1.341,0.061,5.671,59.93899999999999,None,4,f
-0.174,-0.039,-1.334,-0.732,5.122000000000001,59.39,None,4,f
-0.171,-0.036000000000000004,-1.34,-1.89,4.634,58.72,None,4,f
-0.172,-0.041,-1.342,-3.1710000000000003,4.268,58.049,None,4,f
-0.181,-0.045,-1.344,-4.512,3.354,57.43899999999999,None,4,f
-0.179,-0.046,-1.352,-5.61,2.622,56.89,None,4,f
-0.188,-0.062,-1.331,-6.646,1.646,56.646,None,4,f
-0.179,-0.032,-1.338,-7.805,1.463,56.22,None,4,f
-0.162,-0.037000000000000005,-1.365,-9.024,1.037,55.793,None,4,f
-0.155,-0.036000000000000004,-1.369,-10.183,1.098,55.427,None,4,f
-0.15,-0.035,-1.359,-10.671,1.159,54.878,None,4,f
-0.14300000000000002,-0.029,-1.36,-11.463,1.524,54.207,None,4,f
-0.14800000000000002,-0.029,-1.355,-12.317,2.5,53.963,None,4,f
-0.15,-0.025,-1.354,-12.988,2.6830000000000003,54.085,None,4,f
-0.145,-0.018000000000000002,-1.352,-13.72,1.89,54.085,None,4,f
-0.153,-0.021,-1.342,-14.695,2.195,54.024,None,4,f
-0.16,-0.016,-1.348,-15.366,3.232,53.902,None,4,f
-0.154,-0.015,-1.3430000000000002,-15.61,3.841,53.78,None,4,f
-0.156,-0.009000000000000001,-1.336,-16.28,3.963,53.72,None,4,f
-0.155,-0.009000000000000001,-1.317,-16.646,3.72,53.72,None,4,f
-0.168,-0.005,-1.3119999999999998,-16.951,2.805,53.72,None,4,f
-0.172,-0.004,-1.3119999999999998,-17.5,2.317,53.537,None,4,f
-0.173,-0.005,-1.3,-17.988,2.622,52.988,None,4,f
-0.183,0.002,-1.3019999999999998,-18.293,2.5,52.622,None,4,f
-0.191,0.005,-1.289,-18.72,2.744,52.073,None,4,f
-0.194,0.006999999999999999,-1.271,-19.085,2.317,51.768,None,4,f
-0.205,0.0,-1.259,-19.329,2.805,51.28,None,4,f
-0.204,-0.001,-1.251,-19.939,2.988,50.976000000000006,None,4,f
-0.206,0.002,-1.237,-20.305,2.195,50.976000000000006,None,4,f
-0.207,0.001,-1.223,-21.037,3.4760000000000004,50.305,None,4,f
-0.21,0.0,-1.219,-21.585,4.268,49.695,None,4,f
-0.197,0.006,-1.219,-22.134,3.659,49.207,None,4,f
