aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.191,-0.429,0.807,16.235,7.751,-0.122,None,3
-0.202,-0.474,0.7979999999999999,16.785,8.606,-0.4270000000000001,None,3
-0.205,-0.473,0.836,15.259,9.888,-1.2819999999999998,None,3
-0.21,-0.438,0.878,13.0,11.169,-2.014,None,3
-0.2,-0.412,0.929,10.986,11.353,-1.953,None,3
-0.197,-0.389,0.966,8.24,10.193,-0.5489999999999999,None,3
-0.198,-0.38,0.983,3.967,8.118,1.038,None,3
-0.206,-0.363,0.998,0.122,6.104,2.747,None,3
-0.204,-0.348,1.021,-2.014,4.517,4.395,None,3
-0.198,-0.353,1.057,-3.113,2.8080000000000003,6.287000000000001,None,3
-0.197,-0.374,1.063,-1.587,-0.061,8.301,None,3
-0.199,-0.398,1.057,0.061,-3.052,9.399,None,3
-0.2,-0.44,1.042,0.0,-5.676,10.498,None,3
-0.21600000000000005,-0.475,1.002,-0.183,-7.874,11.353,None,3
-0.231,-0.515,0.994,2.6860000000000004,-8.911,11.23,None,3
-0.247,-0.555,1.043,7.935,-8.24,11.047,None,3
-0.236,-0.5870000000000001,1.185,16.846,-6.165,10.864,None,3
-0.201,-0.644,1.361,28.015,-4.944,10.62,None,3
-0.18,-0.75,1.55,37.964,-7.263,10.132,None,3
-0.16399999999999998,-0.8640000000000001,1.755,46.875,-12.268,8.24,None,3
-0.125,-0.977,1.964,51.08600000000001,-20.081,4.517,None,3
-0.101,-1.058,2.086,49.988,-33.203,-1.099,None,3
-0.102,-1.103,2.1630000000000003,44.678,-50.232,-7.812,None,3
-0.094,-1.11,2.22,38.757,-67.444,-15.137,None,3
-0.073,-1.0759999999999998,2.237,35.034,-83.618,-22.217,None,3
-0.044,-1.033,2.206,36.438,-99.915,-28.992,None,3
0.013,-0.971,2.155,39.001,-115.479,-35.706,None,3
0.065,-0.976,2.0580000000000003,36.438,-131.287,-40.71,None,3
0.125,-0.964,1.95,32.471,-146.423,-46.021,None,3
0.18,-0.968,1.802,26.184,-160.339,-51.392,None,3
0.189,-0.941,1.617,21.729,-173.767,-57.06800000000001,None,3
0.228,-0.919,1.511,18.555,-183.777,-62.43899999999999,None,3
0.266,-0.865,1.369,17.761,-191.956,-67.505,None,3
0.258,-0.7979999999999999,1.1840000000000002,18.616,-200.5,-72.693,None,3
0.25,-0.7440000000000001,1.038,16.235,-206.787,-76.66,None,3
0.226,-0.6609999999999999,0.915,13.306,-210.937,-79.407,None,3
0.2,-0.609,0.7859999999999999,16.541,-213.989,-81.055,None,3
0.228,-0.575,0.6859999999999999,22.095,-214.478,-81.29899999999998,3beats_1,3
0.192,-0.579,0.505,26.978,-215.393,-81.238,None,3
