aX,aY,aZ,gX,gY,gZ,label
0.821,-1.261,2.535,70.74,59.81399999999999,123.291,None
0.8140000000000001,-1.398,2.455,48.218,23.01,99.609,None
0.708,-1.5119999999999998,2.171,41.44300000000001,7.324,86.304,None
0.665,-1.51,2.042,31.555,-4.6389999999999985,72.75399999999998,None
0.5760000000000001,-1.4469999999999998,1.851,11.108,-21.79,46.692,None
0.53,-1.372,1.781,0.916,-30.334,34.851,None
0.449,-1.18,1.5490000000000002,-10.681,-46.143,14.648,None
0.42,-1.071,1.421,-19.104,-57.556,-0.488,None
0.38,-0.8370000000000001,1.126,-23.621,-62.012,-5.737,None
0.355,-0.6409999999999999,0.836,-27.222,-65.186,-13.184,None
0.335,-0.5379999999999999,0.7120000000000001,-32.227,-64.819,-15.32,None
0.284,-0.343,0.5379999999999999,-33.508,-58.716,-17.456,None
0.263,-0.279,0.49,-25.879,-52.979,-16.968,None
0.238,-0.278,0.441,-6.653,-40.466,-13.977,None
0.242,-0.325,0.429,14.648,-30.029,-11.169,None
0.24,-0.442,0.412,2.136,-25.696,-11.597,None
0.256,-0.509,0.398,-5.31,-17.334,-14.832,None
0.255,-0.522,0.385,-10.62,-13.916,-16.968,None
0.259,-0.5770000000000001,0.375,-11.902,-5.31,-22.4,None
0.269,-0.616,0.385,-11.597,-0.244,-25.757,None
0.282,-0.6709999999999999,0.414,-9.399,10.254,-34.851,None
0.29100000000000004,-0.688,0.4320000000000001,-7.5070000000000014,14.954,-40.1,None
0.297,-0.679,0.464,-5.005,22.949,-51.758,None
0.306,-0.6609999999999999,0.477,-4.883,29.602,-63.293,None
0.293,-0.5760000000000001,0.535,-7.263,31.738000000000003,-69.031,None
0.307,-0.485,0.594,-19.104,33.264,-78.247,None
0.335,-0.444,0.595,-30.457,32.532,-82.275,None
0.36,-0.292,0.589,-53.833,29.175,-89.844,None
0.368,-0.204,0.596,-60.974,28.931,-92.407,None
0.431,-0.11,0.58,-62.195,30.09,-93.323,None
0.445,-0.1,0.5710000000000001,-57.556,31.067,-92.896,None
0.483,-0.146,0.524,-38.025,35.522,-91.37,None
0.508,-0.196,0.477,-7.5070000000000014,44.312,-90.576,None
0.565,-0.303,0.419,5.066,52.185,-91.675,None
0.608,-0.322,0.474,19.897,70.74,-95.032,None
0.665,-0.386,0.583,24.658,80.811,-96.191,None
0.774,-0.474,0.895,23.315,97.717,-99.976,None
0.809,-0.467,1.08,13.794,101.807,-103.333,None
0.853,-0.354,1.47,-5.615,102.722,-111.267,None
0.861,-0.266,1.6769999999999998,-14.343,99.731,-114.319,None
0.8370000000000001,-0.112,2.068,-25.208,85.876,-117.92,None
0.8059999999999999,-0.019,2.232,-30.212,60.974,-119.263,None
0.718,0.16899999999999998,2.398,-32.349000000000004,45.471,-118.652,None
0.626,0.359,2.324,-36.865,11.414,-113.647,None
0.5760000000000001,0.434,2.172,-37.109,-5.676,-109.436,None
0.474,0.523,1.7719999999999998,-28.687,-31.555,-98.511,None
0.4270000000000001,0.5489999999999999,1.587,-21.301,-39.551,-92.102,None
0.35100000000000003,0.583,1.255,-1.587,-48.279,-78.67399999999998,None
0.322,0.5670000000000001,1.11,7.4460000000000015,-49.683,-71.22800000000002,None
0.248,0.487,0.907,21.484,-46.93600000000001,-57.312,None
0.222,0.428,0.8220000000000001,27.283,-40.71,-45.044,None
0.188,0.307,0.78,26.733,-38.025,-40.466,None
0.139,0.251,0.746,22.949,-32.043,-33.203,None
0.133,0.225,0.758,22.461,-28.748,-30.029,None
0.103,0.213,0.792,19.714,-24.353,-24.353,None
0.095,0.211,0.799,21.301,-22.766,-21.484,None
0.077,0.181,0.83,26.367,-20.447,-15.625,None
0.069,0.159,0.8440000000000001,26.245,-20.02,-10.315,None
0.062,0.136,0.872,24.292,-20.508000000000006,-8.057,None
0.056,0.121,0.885,17.578,-22.949,-4.211,None
0.062,0.092,0.8759999999999999,13.0,-24.292,-2.197,None
0.047,0.071,0.901,1.892,-26.672,1.526,None
0.052000000000000005,0.057,0.915,-1.526,-27.649,3.113,None
0.053,0.048,0.937,-4.944,-30.762,6.042000000000002,None
0.066,0.043,0.936,-4.944,-32.166,7.4460000000000015,None
0.06,0.063,0.902,-3.418,-34.79,10.559,None
0.059,0.061,0.926,-2.502,-33.936,12.634,None
0.078,0.018000000000000002,0.957,-0.122,-34.119,17.395,None
0.076,-0.009000000000000001,0.989,4.822,-34.912,21.301,None
0.099,-0.07200000000000001,1.0659999999999998,9.888,-34.973,22.888,None
0.13,-0.165,1.177,22.705,-34.18,25.574,None
0.139,-0.198,1.229,26.367,-33.936,25.94,None
0.154,-0.221,1.4169999999999998,27.344,-32.654,26.245,None
0.183,-0.253,1.557,24.353,-31.555,27.222,None
0.221,-0.309,1.848,10.681,-34.363,29.236,None
0.234,-0.353,2.006,3.845,-38.208,30.396,None
0.29,-0.475,2.265,-7.324,-50.903,32.227,None
0.307,-0.514,2.324,-9.888,-73.181,31.677,None
0.353,-0.5770000000000001,2.264,-5.249,-84.9,31.067,None
0.395,-0.625,2.05,11.719,-105.652,28.625,None
0.401,-0.669,1.893,20.996,-114.99,27.039,None
0.392,-0.7,1.547,27.954,-129.88299999999998,21.423,None
0.376,-0.68,1.361,26.611,-135.62,18.066,3beats_1
0.348,-0.632,1.043,21.545,-142.21200000000005,12.146,None
0.289,-0.609,0.868,18.616,-143.616,9.644,None
0.255,-0.5579999999999999,0.583,27.466,-141.296,4.883,None
0.228,-0.547,0.468,28.503,-133.606,0.305,None
0.181,-0.509,0.284,25.085,-128.601,-2.319,None
0.107,-0.389,0.177,17.761,-115.173,-6.348,None
0.063,-0.403,0.208,17.151,-107.117,-6.653,None
0.01,-0.238,0.192,17.822,-94.971,-8.057,None
-0.052000000000000005,-0.219,0.193,23.071,-88.257,-6.836,None
0.015,-0.061,0.172,32.654,-78.735,-5.4929999999999986,None
-0.158,-0.174,0.17800000000000002,33.997,-71.35,-2.441,None
-0.113,-0.069,0.09,41.565,-66.101,-0.183,None
-0.172,-0.055,0.062,40.833,-55.969,3.235,None
-0.185,-0.053,0.031,42.542,-50.415,4.7,None
-0.197,-0.038,-0.066,39.368,-40.039,8.667,None
-0.232,-0.022,-0.104,35.095,-34.973,10.315,None
