aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.154,0.564,-0.752,12.378,24.207,-9.756,None,3
-0.152,0.5670000000000001,-0.754,12.5,23.476,-8.841000000000003,None,3
-0.157,0.58,-0.7440000000000001,12.683,24.329,-8.537,None,3
-0.13699999999999998,0.589,-0.7659999999999999,13.11,27.5,-8.415,None,3
-0.116,0.618,-0.787,13.293,28.78,-8.049,None,3
-0.08199999999999999,0.622,-0.794,13.354,26.159,-6.646,None,3
-0.076,0.612,-0.7829999999999999,13.598,24.573,-6.829,None,3
-0.062,0.604,-0.79,14.329,24.207,-7.439,None,3
-0.045,0.5870000000000001,-0.818,15.0,21.402,-7.0120000000000005,None,3
-0.028,0.56,-0.838,15.366,18.049,-6.159,None,3
-0.022,0.55,-0.843,14.634,16.159000000000002,-5.792999999999998,None,3
-0.024,0.5479999999999999,-0.83,13.415,18.659,-6.341,None,3
0.003,0.568,-0.8220000000000001,12.744000000000002,23.293000000000006,-7.073,None,3
0.012,0.569,-0.8170000000000001,13.11,26.646,-7.927,None,3
-0.004,0.565,-0.81,13.415,32.073,-9.024,None,3
-0.004,0.565,-0.7959999999999999,12.622,41.707,-10.427,None,3
0.015,0.574,-0.789,12.561,52.805,-11.951,None,3
0.019,0.578,-0.782,12.561,62.622,-13.598,None,3
0.026,0.596,-0.792,12.805,72.378,-15.488,None,3
0.024,0.584,-0.795,13.232,81.03699999999998,-17.439,None,3
0.037000000000000005,0.5760000000000001,-0.812,12.5,87.927,-18.963,None,3
0.056,0.613,-0.823,11.89,87.927,-19.878,None,3
0.041,0.607,-0.821,12.927,81.22,-20.0,None,3
0.024,0.609,-0.833,13.72,72.988,-19.573,None,3
0.005,0.603,-0.8540000000000001,14.207,64.024,-18.72,None,3
-0.01,0.598,-0.857,14.085,55.976000000000006,-17.866,None,3
-0.014,0.589,-0.866,13.537,49.268,-16.951,None,3
-0.028,0.574,-0.865,13.415,43.415,-16.340999999999998,None,3
-0.041,0.569,-0.872,13.354,39.329,-15.915,None,3
-0.041,0.56,-0.884,13.72,36.159,-15.183,None,3
-0.051,0.544,-0.892,13.537,34.085,-15.122,None,3
-0.045,0.528,-0.912,13.415,33.841,-15.427,None,3
-0.028,0.536,-0.929,12.988,31.89,-15.305,None,3
-0.005,0.546,-0.942,12.195,26.037,-14.573,None,3
-0.016,0.526,-0.945,12.195,18.354,-14.573,None,3
-0.018000000000000002,0.514,-0.953,11.707,12.255999999999998,-14.634,None,3
-0.017,0.514,-0.966,11.402,4.878,-13.902,None,3
-0.052000000000000005,0.498,-0.961,10.854,-2.744,-13.049,None,3
-0.079,0.493,-0.942,9.634,-4.207,-12.805,None,3
-0.077,0.502,-0.934,8.415,-1.768,-12.866,None,3
-0.07400000000000001,0.513,-0.918,7.622000000000001,2.317,-12.988,None,3
-0.069,0.529,-0.904,7.073,8.72,-14.024,None,3
-0.034,0.536,-0.902,6.524,14.207,-15.122,None,3
-0.028,0.568,-0.888,6.22,14.695,-15.0,None,3
0.008,0.7240000000000001,-0.918,6.098,12.927,-14.085,3beats_3,3
-0.001,0.6,-0.861,8.293,16.524,-12.073,None,3
0.099,0.539,-0.846,5.061,29.817,-14.817,None,3
0.125,0.561,-0.799,4.085,38.293,-18.902,None,3
0.126,0.581,-0.753,3.78,46.28,-21.89,None,3
0.134,0.5720000000000001,-0.713,5.305,53.415,-24.39,None,3
0.119,0.556,-0.705,7.5,59.93899999999999,-26.159,None,3
0.156,0.544,-0.735,8.902000000000003,66.95100000000001,-27.744,None,3
0.214,0.539,-0.765,9.39,65.305,-28.171,None,3
0.25,0.56,-0.7759999999999999,9.207,55.122,-27.622,None,3
0.254,0.606,-0.772,10.122,43.415,-28.171,None,3
0.262,0.596,-0.7440000000000001,10.183,36.829,-28.78,None,3
0.308,0.583,-0.757,11.22,32.073,-30.183000000000003,None,3
0.294,0.589,-0.782,14.024,22.927,-32.256,None,3
0.261,0.5379999999999999,-0.79,15.061,19.634,-33.78,None,3
0.279,0.5429999999999999,-0.835,14.878,21.402,-36.341,None,3
0.311,0.539,-0.905,15.0,16.829,-38.049,None,3
0.292,0.511,-0.947,15.671,5.305,-38.902,None,3
0.267,0.488,-0.997,15.793,-5.244,-41.585,None,3
0.211,0.514,-1.061,14.207,-16.159000000000002,-43.78,None,3
0.126,0.483,-1.089,11.951,-28.232,-43.232,None,3
0.077,0.404,-1.088,9.939,-35.488,-42.683,None,3
0.04,0.407,-1.097,8.78,-40.122,-42.988,None,3
-0.012,0.441,-1.164,7.561,-47.195,-44.817,None,3
-0.13699999999999998,0.426,-1.179,6.22,-54.024,-43.659,None,3
-0.188,0.466,-1.19,2.134,-51.463,-41.28,None,3
-0.198,0.438,-1.163,-0.4270000000000001,-44.024,-40.427,None,3
-0.205,0.433,-1.154,-2.622,-35.732,-40.793,None,3
-0.239,0.384,-1.131,-4.39,-26.768,-42.378,None,3
-0.28600000000000003,0.392,-1.109,-7.317,-18.293,-43.659,None,3
-0.326,0.39,-1.075,-9.024,-12.195,-43.049,None,3
-0.3670000000000001,0.393,-1.033,-10.366,-6.829,-40.671,None,3
-0.354,0.443,-1.015,-11.951,-1.402,-38.415,None,3
