aX,aY,aZ,gX,gY,gZ,,,,
-0.78,0.629,-0.797,-107.605,31.25,26.672,,,,
-0.749,0.617,-0.735,-125.244,34.851,29.236,,,,
-0.709,0.587,-0.667,-119.385,39.124,30.884,,,,
-0.728,0.568,-0.636,-102.173,41.138,30.701,,,,
-0.763,0.541,-0.644,-86.609,43.274,31.494,,,,
-0.768,0.501,-0.648,-82.397,45.593,32.837,,,,
-0.744,0.462,-0.634,-88.135,48.462,34.119,,,,
-0.732,0.443,-0.605,-96.375,51.208,34.912,,,,
-0.732,0.435,-0.576,-103.333,53.467,35.4,,,,
-0.737,0.444,-0.542,-110.84,55.542,35.706,,,,
-0.753,0.461,-0.498,-122.314,57.739,36.499,,,,
-0.769,0.48,-0.419,-135.925,59.631,38.147,,,,
-0.76,0.476,-0.302,-142.883,60.913,40.222,,,,
-0.733,0.423,-0.183,-134.399,60.608,42.053,,,,
-0.735,0.357,-0.127,-113.464,57.373,42.542,,,,
-0.753,0.271,-0.134,-89.233,52.063,42.297,,,,
-0.757,0.175,-0.184,-70.496,46.875,41.504,,,,
-0.768,0.093,-0.25,-62.134,42.175,39.307,,,,
-0.769,0.025,-0.28,-63.538,39.49,36.499,,,,
-0.75,-0.01,-0.261,-67.261,37.781,32.776,,,,
-0.75,0.006,-0.254,-66.345,35.767,27.649,,,,
-0.796,0.081,-0.25,-64.697,32.776,22.217,,,,
-0.837,0.136,-0.237,-58.472,30.273,18.982,,,,
-0.847,0.159,-0.245,-50.598,27.039,17.212,,,,
-0.858,0.151,-0.275,-44.495,23.437,16.357,,,,
-0.872,0.137,-0.301,-39.978,20.203,15.564,,,,
-0.87,0.106,-0.305,-35.339,17.944,14.709,,,,
-0.86,0.056,-0.307,-29.724,15.869,13.611,,,,
-0.86,0.009,-0.31,-24.841,13.306,11.902,,,,
-0.854,-0.047,-0.305,-21.545,10.925,9.583,,,,
-0.827,-0.104,-0.303,-19.653,8.301,6.775,,,,
-0.811,-0.124,-0.328,-19.897,4.944,2.563,,,,
-0.82,-0.098,-0.355,-22.522,1.526,-2.747,,,,
-0.809,-0.064,-0.357,-23.193,-0.732,-6.653,,,,
-0.794,-0.02,-0.32,-20.081,-2.502,-10.681,,,,
-0.789,0.018,-0.294,-9.155,-4.822,-14.709,,,,
-0.787,0.055,-0.283,7.202,-7.751,-18.555,,,,
-0.793,0.079,-0.294,25.146,-10.742,-21.851,,,,
-0.79,0.083,-0.346,41.321,-13.916,-24.719,,,,
-0.791,0.108,-0.408,47.913,-16.663,-27.832,,,,
-0.793,0.151,-0.465,47.424,-18.921,-30.518,,,,
-0.798,0.204,-0.492,42.053,-19.836,-32.654,,,,
-0.803,0.259,-0.501,38.208,-20.203,-33.63,,,,
-0.801,0.305,-0.512,40.1,-20.569,-34.241,,,,
-0.793,0.338,-0.53,48.035,-20.874,-34.363,,,,
-0.781,0.337,-0.581,59.875,-21.24,-33.997,,,,
-0.773,0.343,-0.635,70.19,-21.362,-33.875,,,,
-0.76,0.32,-0.667,81.055,-19.409,-33.752,,,,
-0.735,0.291,-0.71,90.515,-17.029,-34.363,,,,
