aX,aY,aZ,gX,gY,gZ,
-0.911,-0.21,-0.235,3.296,54.016,-35.828,
-0.919,-0.17,-0.191,4.15,52.49,-35.522,
-0.916,-0.137,-0.152,2.197,50.293,-34.607,
-0.912,-0.099,-0.108,0.793,48.279,-33.63,
-0.908,-0.073,-0.074,0.793,45.593,-32.41,
-0.908,-0.047,-0.056,0.61,42.542,-30.884,
-0.915,-0.018,-0.036,0.977,39.551,-29.48,
-0.913,-0.009,-0.01,2.93,37.048,-27.466,
-0.909,0.005,0.005,3.418,33.997,-25.33,
-0.908,0.03,0.029,3.845,30.762,-23.499,
-0.907,0.05,0.043,3.967,27.466,-21.362,
-0.908,0.069,0.056,4.028,24.353,-18.86,
-0.91,0.092,0.064,5.005,21.362,-16.602,
-0.908,0.11,0.077,4.7,18.616,-13.855,
-0.909,0.132,0.097,2.014,15.869,-10.864,
-0.903,0.152,0.129,-1.587,13.489,-7.69,
-0.891,0.166,0.155,-5.188,10.681,-4.578,
-0.877,0.165,0.175,-7.751,7.08,-0.61,
-0.867,0.141,0.193,-6.836,4.028,3.418,
-0.852,0.117,0.215,-6.531,0.61,7.202,
-0.834,0.102,0.25,-7.874,-2.808,10.437,
-0.811,0.101,0.288,-9.583,-6.592,12.939,
-0.791,0.111,0.329,-10.864,-10.803,15.137,
-0.773,0.134,0.376,-9.644,-15.625,17.029,
-0.773,0.175,0.422,-6.47,-21.179,18.738,
-0.779,0.228,0.473,-4.822,-27.222,20.813,
-0.778,0.284,0.517,-5.432,-34.241,23.621,
-0.775,0.359,0.579,-9.338,-41.748,27.344,
-0.773,0.46,0.635,-15.869,-50.415,31.86,
-0.758,0.553,0.697,-20.264,-59.875,37.964,
-0.746,0.648,0.741,-22.461,-70.19,45.837,
-0.712,0.713,0.765,-24.109,-82.031,55.664,
-0.68,0.762,0.781,-23.132,-94.299,67.566,
-0.619,0.77,0.77,-16.052,-107.361,80.383,
-0.531,0.711,0.717,-3.174,-121.094,94.238,
-0.437,0.586,0.613,11.292,-135.315,108.093,
-1.454,-4,-3.999,104.736,-155.396,111.572,
-1.325,0.444,-1.491,-234.558,-12.085,-18.311,
-0.751,3.439,1.875,-495.361,8.606,-28.503,
-0.62,-3.333,-3.708,-218.994,-38.94,-4.089,
-1.31,0.663,-0.873,-95.398,-7.019,-1.648,
-1.094,0.065,-0.705,-42.053,-2.747,17.212,
-1.012,-0.637,-0.153,16.968,3.235,15.137,
-1.028,-0.349,-0.213,35.706,-2.686,18.494,
-0.957,-0.431,-0.259,36.804,-7.507,19.592,
-0.964,-0.345,-0.312,35.706,-11.475,18.677,
-0.945,-0.344,-0.314,12.756,-16.968,21.606,
-0.935,-0.369,-0.426,3.357,-20.935,21.729,
-0.935,-0.157,-0.322,-3.723,-23.743,24.109,
-0.878,-0.195,-0.447,3.967,-25.818,27.71,
-0.87,-0.185,-0.489,21.179,-25.513,31.372,
-0.811,-0.298,-0.63,46.387,-24.292,34.424,
-0.775,-0.608,-0.869,49.5,-22.827,37.476,
-0.819,-0.852,-1.019,25.696,-19.653,35.278,
-0.744,-1.065,-1.127,-17.029,-14.404,29.907,
-0.647,-1.125,-1.166,-69.824,-8.789,21.118,
-0.707,-1.14,-1.211,-105.896,-1.709,9.033,
-0.711,-1.044,-1.159,-130.249,8.667,-2.563,
-0.674,-0.953,-1.104,-150.146,16.785,-12.39,
-0.673,-0.839,-1,-146.851,27.222,-21.912,
-0.687,-0.772,-0.958,-129.211,35.522,-30.029,
-0.694,-0.731,-0.905,-117.065,42.908,-36.011,
-0.702,-0.709,-0.881,-107.788,49.194,-41.138,
-0.7,-0.686,-0.839,-101.746,55.664,-45.776,
-0.715,-0.679,-0.81,-103.638,60.852,-49.255,
-0.719,-0.671,-0.757,-116.211,65.002,-52.124,
-0.719,-0.63,-0.69,-136.108,68.115,-55.115,
-0.719,-0.58,-0.601,-155.029,70.374,-58.35,
-0.719,-0.503,-0.504,-171.204,72.021,-61.523,
-0.727,-0.416,-0.412,-183.716,71.838,-64.514,
-0.719,-0.354,-0.356,-189.941,70.923,-66.589,
-0.744,-0.295,-0.294,-203.064,68.726,-67.81,
-0.771,-0.233,-0.231,-222.107,65.613,-68.42,
-0.789,-0.166,-0.221,-226.562,62.927,-69.519,
-0.814,-0.104,-0.2,-222.046,61.218,-69.641,
-0.826,-0.042,-0.188,-223.328,59.509,-68.97,
-0.832,0.009,-0.16,-222.839,58.411,-67.017,
-0.849,0.036,-0.141,-222.717,56.946,-64.575,
-0.843,0.065,-0.106,-226.013,55.359,-61.401,
-0.861,0.107,-0.03,-231.384,54.077,-58.594,
-0.846,0.091,-0.035,-219.91,52.185,-55.298,
-0.829,0.083,-0.003,-215.576,50.171,-52.673,
-0.83,0.083,-0.007,-219.421,47.119,-50.293,
-0.867,0.092,0.004,-231.506,43.579,-48.401,
-0.847,0.121,0.022,-237.244,41.687,-46.387,
-0.868,0.129,0.004,-222.351,39.856,-46.021,
-0.875,0.156,0.01,-212.28,39.063,-44.067,
-0.889,0.179,0.004,-208.984,37.292,-42.053,
-0.902,0.198,0.012,-201.477,36.743,-39.612,
-0.914,0.202,0.011,-189.819,37.048,-36.682,
