aX,aY,aZ,gX,gY,gZ
-0.807,0.087,-0.305,32.288,-57.129,-13.916
-0.813,0.074,-0.36,31.189,-53.467,-11.23
-0.808,0.085,-0.436,29.602,-49.377,-9.216
-0.817,0.093,-0.509,26.978,-44.678,-7.263
-0.814,0.116,-0.58,25.94,-39.185,-5.737
-0.809,0.122,-0.641,24.841,-33.02,-3.296
-0.812,0.123,-0.684,23.437,-26.062,-0.793
-0.807,0.136,-0.71,20.63,-18.372,1.648
-0.801,0.156,-0.719,17.273,-10.254,4.272
-0.79,0.173,-0.714,14.221,-2.258,7.263
-0.776,0.179,-0.704,12.207,6.226,10.498
-0.763,0.163,-0.697,10.254,14.282,14.404
-0.783,0.146,-0.706,8.911,22.278,17.639
-0.778,0.151,-0.719,7.202,30.09,20.325
-0.771,0.16,-0.728,4.395,38.33,23.01
-0.756,0.171,-0.732,2.014,46.692,26.001
-0.73,0.173,-0.727,-0.793,55.481,29.602
-0.683,0.202,-0.734,-4.456,63.232,32.898
-0.624,0.26,-0.774,-6.958,70.862,36.255
-0.553,0.341,-0.849,-8.423,78.491,41.138
-0.489,0.39,-0.956,-9.155,86.182,47.363
-0.454,0.464,-1.125,-10.437,95.093,54.504
-0.39,0.526,-1.32,-16.235,105.408,62.561
-0.432,0.581,-1.536,-27.405,118.774,72.51
-0.404,0.548,-1.721,-28.381,137.329,84.473
-0.408,0.453,-1.79,-20.874,162.537,96.375
-0.415,0.215,-1.705,-0.549,194.519,108.154
-0.433,0.218,-1.152,-2.197,227.234,117.981
-1.045,-1.84,3.103,119.202,241.089,117.432
-0.982,-3.917,4,-457.581,131.897,104.797
-1.133,-3.9,4,-184.143,61.584,51.453
-1.179,-2.634,2.811,-190.796,23.804,7.08
-1.259,-1.084,1.676,-147.766,-5.005,-23.071
-1.382,-0.175,1.26,-53.162,-15.808,-34.973
-1.215,-0.243,0.847,99.792,-15.625,-40.039
-1.184,-0.299,0.423,126.038,-16.663,-40.771
-1.091,-0.428,0.17,115.54,-12.634,-38.818
-1.029,-0.553,0.307,87.891,-11.23,-36.194
-0.986,-0.559,0.579,49.744,-10.254,-36.377
-0.931,-0.507,0.68,23.437,-13.306,-37.17
-0.887,-0.407,0.731,5.554,-19.348,-38.025
-0.859,-0.308,0.688,-2.93,-25.024,-37.17
-0.844,-0.21,0.634,-6.775,-30.457,-35.278
-0.821,-0.131,0.593,-5.432,-35.889,-32.41
-0.795,-0.088,0.576,0.916,-41.26,-29.236
-0.787,-0.084,0.565,10.315,-46.509,-25.757
-0.785,-0.098,0.54,18.188,-51.147,-22.461
-0.792,-0.128,0.483,22.705,-54.932,-19.47
-0.796,-0.163,0.385,24.841,-57.556,-16.846
-0.803,-0.206,0.26,25.085,-58.96,-15.137
-0.809,-0.252,0.122,25.33,-58.289,-14.282
-0.813,-0.295,-0.011,25.208,-56.213,-13.977
-0.821,-0.332,-0.125,23.987,-52.734,-14.832
-0.834,-0.366,-0.215,20.935,-48.401,-16.235
-0.838,-0.392,-0.268,15.686,-43.457,-18.188
-0.816,-0.375,-0.267,11.475,-37.903,-20.63
-0.836,-0.362,-0.233,15.32,-31.433,-23.132
-0.878,-0.334,-0.199,12.939,-26.123,-25.818
-0.862,-0.304,-0.148,2.991,-22.034,-26.855
-0.873,-0.279,-0.121,-3.113,-17.883,-27.588
-0.893,-0.249,-0.108,-9.155,-14.16,-28.259
-0.9,-0.226,-0.094,-10.803,-9.399,-28.503
-0.927,-0.227,-0.098,-12.512,-4.883,-28.381
-0.928,-0.219,-0.103,-26.917,-2.686,-27.71
-0.93,-0.216,-0.115,-25.024,2.258,-27.649
-0.929,-0.211,-0.061,-22.4,6.226,-27.344
-0.932,-0.22,-0.042,-32.104,9.766,-26.978
-0.934,-0.232,-0.025,-30.396,12.512,-26.611
-0.948,-0.223,-0.016,-31.616,15.198,-26.978
-0.868,-0.233,-0.047,-32.104,17.273,-27.161
-0.906,-0.157,-0.01,-37.292,19.775,-28.076
-1.08,-0.178,-0.049,-35.583,21.179,-27.71
-1.075,-0.183,-0.043,-37.598,24.292,-27.71
-1.046,-0.164,-0.021,-39.795,28.259,-28.625
-1.063,-0.121,0.003,-41.687,31.494,-28.931
-1.088,-0.087,0.023,-37.72,34.058,-28.137
-1.094,-0.036,0.044,-33.569,36.499,-27.527
-1.094,0.031,0.089,-31.921,38.452,-26.428
-1.095,0.08,0.176,-31.189,40.649,-23.926
-1.088,0.098,0.258,-27.283,42.725,-20.569
-1.117,0.052,0.416,-30.762,43.64,-15.076
-1.141,-0.006,0.548,-30.09,43.152,-10.132
-1.136,-0.058,0.652,-26.978,40.405,-6.958
-1.131,-0.083,0.741,-26.428,35.583,-5.127
-1.124,-0.115,0.799,-23.804,29.785,-3.296
-1.12,-0.123,0.853,-22.705,23.499,-2.869
-1.141,-0.105,0.895,-26.794,16.663,-2.869
-1.148,-0.078,0.9,-26.733,9.277,-3.052
-1.139,-0.05,0.903,-25.696,2.319,-2.625
-1.162,-0.038,0.903,-25.33,-3.967,-1.526
-1.18,-0.04,0.902,-21.423,-9.399,-0.244
-1.141,-0.038,0.87,-16.235,-14.709,0.549
-1.109,0,0.818,-13.367,-20.569,0.916
-1.079,0.025,0.739,-11.047,-26.062,2.197
-1.052,0.037,0.648,-6.714,-30.09,4.333
-1.012,0.038,0.531,1.343,-32.715,5.859
-0.97,0.028,0.433,7.324,-33.264,7.08
-0.932,0.013,0.326,6.165,-32.776,7.507
-0.884,0.014,0.211,0.061,-31.433,7.629
-0.871,0.048,0.108,-7.263,-28.381,7.324
-0.848,0.041,0.028,-2.441,-22.705,7.629
-0.779,-0.001,0.034,8.301,-14.526,7.935
-0.716,0,0.118,5.737,-7.263,7.385
-0.654,0.024,0.178,7.08,-2.258,6.104
-0.595,0.036,0.219,11.719,0.793,5.554
-0.552,0.037,0.23,12.634,1.709,5.31
-0.526,0.057,0.197,12.085,0.427,4.883
-0.51,0.067,0.144,12.634,-0.854,5.188
-0.485,0.073,0.066,14.099,-1.648,5.31
-0.455,0.072,-0.014,12.085,-2.075,5.615
-0.429,0.054,-0.094,7.446,-1.526,6.409
-0.406,0.011,-0.189,7.202,0.244,7.019
-0.382,-0.051,-0.274,9.949,3.418,7.019
-0.344,-0.106,-0.351,13.184,7.751,6.287
-0.319,-0.167,-0.439,16.663,12.756,4.7
-0.312,-0.224,-0.538,18.127,18.188,1.953
-0.258,-0.248,-0.621,13.855,24.719,-1.465
-0.249,-0.269,-0.726,13.245,32.532,-5.31
-0.214,-0.253,-0.836,9.766,40.71,-9.521
-0.187,-0.242,-0.951,5.066,51.025,-13.672
-0.167,-0.238,-1.031,-2.625,62.683,-17.7
-0.135,-0.225,-1.099,-9.949,75.5,-22.095
-0.078,-0.176,-1.154,-17.456,89.478,-26.733
-0.018,-0.101,-1.221,-23.682,104.126,-30.823
0.054,-0.031,-1.316,-23.987,119.934,-33.508
0.102,0.016,-1.393,-20.691,138.245,-34.302
0.208,0.066,-1.41,-17.09,159.058,-34.546
0.317,0.073,-1.45,-12.939,181.396,-34.241
0.422,0.064,-1.432,-13.489,204.712,-33.264
0.516,0.01,-1.365,-18.921,227.478,-32.471
0.652,-0.023,-1.239,-25.879,250.427,-33.508
0.814,-0.062,-1.067,-33.569,272.522,-35.461
0.957,-0.101,-0.877,-41.382,292.969,-38.513
1.11,-0.116,-0.646,-49.316,311.462,-42.786
1.266,-0.077,-0.424,-57.556,326.843,-48.584
1.391,-0.018,-0.215,-65.674,339.294,-54.504
1.499,0.017,-0.021,-75.073,349.182,-60.181
1.549,0.078,0.146,-85.266,356.262,-66.162
1.608,0.118,0.324,-94.116,362.366,-72.388
1.665,0.223,0.496,-106.384,367.004,-79.224
1.689,0.327,0.686,-118.713,370.605,-85.754
1.726,0.432,0.961,-136.353,374.329,-91.675
1.768,0.536,1.248,-158.936,375.854,-97.534
1.78,0.684,1.422,-178.406,372.314,-104.614
1.738,0.836,1.509,-193.909,366.577,-111.755
1.681,0.905,1.087,-203.003,363.159,-118.225
1.766,1.053,0.702,-214.661,370.667,-125.427
2.01,1.611,0.335,-224.365,383.972,-130.066
2.088,2.777,2.012,-194.58,383.911,-124.878
1.697,3.381,3.964,-102.356,357.239,-108.765
1.411,3.142,4,-36.865,352.234,-82.092
1.384,3.166,4,-26.672,326.294,-50.72
1.148,2.861,4,2.502,267.334,-18.188
0.871,2.402,4,31.128,206.055,11.047
0.773,1.967,4,33.875,141.602,31.433
0.699,1.497,4,31.677,69.824,46.57
0.702,0.957,4,30.823,0.488,52.979
0.786,0.613,4,18.738,-58.167,49.622
0.807,0.443,4,15.198,-109.985,42.053
0.806,0.348,4,23.193,-148.193,32.837
0.82,0.395,3.893,32.227,-177.307,22.278
0.815,0.561,3.316,36.377,-198.425,15.93
0.81,0.772,2.833,41.687,-214.05,13.123
0.814,0.957,2.447,46.814,-223.999,14.099
0.837,1.085,2.151,53.04,-229.736,18.127
0.88,1.165,1.939,59.875,-232.91,23.743
0.901,1.15,1.812,65.674,-235.718,31.067
0.922,1.115,1.707,72.144,-239.99,37.842
0.966,1.058,1.612,77.332,-244.995,43.823
1.001,0.981,1.494,79.346,-251.221,48.95
1.023,0.924,1.349,78.369,-257.629,53.04
1.054,0.879,1.18,75.928,-263.306,56.458
1.069,0.806,0.998,76.233,-267.761,59.998
1.083,0.707,0.835,79.407,-270.508,62.805
1.083,0.622,0.683,81.421,-271.545,64.087
1.069,0.553,0.503,83.557,-272.705,64.453
1.013,0.484,0.325,86.365,-272.522,64.148
0.977,0.408,0.15,88.501,-270.63,63.538
0.916,0.33,0.01,85.938,-267.09,62.378
0.845,0.254,-0.12,84.106,-261.963,60.791
0.777,0.208,-0.23,83.557,-255.554,57.8
0.726,0.146,-0.308,80.444,-247.253,54.871
0.656,0.083,-0.364,75.378,-239.014,51.453
0.6,0.026,-0.433,71.716,-230.042,48.096
0.517,-0.009,-0.523,67.627,-221.375,43.64
0.424,-0.031,-0.624,64.209,-211.426,39.246
0.312,-0.061,-0.707,61.035,-199.89,34.79
0.234,-0.037,-0.736,57.007,-187.134,29.846
0.18,-0.012,-0.765,51.331,-174.316,25.391
0.106,0.015,-0.823,48.889,-161.499,21.912
0.009,-0.005,-0.885,48.279,-149.109,19.348
-0.071,0.019,-0.931,42.053,-136.719,16.113
-0.121,0.068,-0.956,31.616,-124.023,13.245
-0.175,0.116,-1.012,26.55,-110.474,11.475
-0.236,0.132,-1.089,25.269,-95.52,11.169
-0.292,0.156,-1.155,23.56,-80.322,11.169
-0.358,0.169,-1.228,18.677,-63.782,11.597
-0.432,0.177,-1.276,13.123,-46.57,12.085
-0.493,0.17,-1.318,4.761,-28.564,12.817
-0.539,0.175,-1.341,-4.944,-9.827,13.855
-0.572,0.185,-1.36,-11.902,9.705,15.076
-0.576,0.188,-1.355,-14.954,30.945,16.663
-0.568,0.198,-1.34,-18.494,52.49,18.677
-0.544,0.209,-1.306,-20.569,74.219,20.63
-0.505,0.236,-1.262,-19.775,95.764,22.827
-0.46,0.243,-1.174,-18.921,117.188,25.574
-0.384,0.247,-1.052,-22.339,138.062,28.625
-0.273,0.277,-0.959,-26.367,157.043,30.823
-0.186,0.31,-0.915,-29.053,174.561,33.447
-0.097,0.318,-0.879,-31.677,191.772,36.255
-0.034,0.338,-0.816,-36.804,209.106,38.696
0.036,0.395,-0.694,-44.373,227.051,40.161
0.145,0.473,-0.479,-59.021,244.568,41.504
0.266,0.58,-0.235,-79.59,260.315,43.396
0.401,0.719,0.004,-97.656,272.888,45.41
0.509,0.863,0.185,-105.042,283.447,48.096
0.578,1.004,0.333,-102.356,292.419,52.429
0.632,1.13,0.563,-97.534,302.856,59.082
0.599,1.289,0.922,-92.468,313.721,66.833
0.631,1.482,1.555,-91.858,324.036,75.867
0.731,1.641,2.455,-101.746,328.491,88.501
0.772,1.651,3.281,-104.065,318.42,103.027
0.649,1.462,3.868,-84.961,294.373,118.652
0.47,1.007,3.942,-70.862,259.155,131.775
0.478,0.134,3.711,-67.749,228.027,136.047
0.481,-0.963,2.247,-70.618,203.674,128.235
0.563,-0.855,0.769,-72.327,200.073,110.596
0.578,0.871,2.37,-48.584,186.34,104.431
0.167,1.696,3.95,46.692,148.01,107.3
0.136,1.567,4,85.754,125.488,118.286
0.309,1.44,4,55.542,85.327,132.202
0.364,1.02,4,37.72,30.945,150.696
0.424,0.579,4,27.893,-22.034,162.354
0.532,0.217,4,15.259,-66.345,166.931
0.608,-0.124,3.569,9.949,-102.722,166.26
0.678,-0.45,3.016,16.663,-129.761,161.743
0.696,-0.76,2.478,26.367,-148.56,152.588
0.645,-0.972,1.945,37.048,-161.255,138.611
0.599,-1.025,1.55,39.734,-167.236,121.582
0.561,-0.987,1.305,38.879,-168.945,105.042
0.511,-0.877,1.215,37.842,-170.166,90.271
0.47,-0.756,1.215,37.109,-171.509,78.613
0.442,-0.663,1.231,30.457,-173.096,69.58
0.435,-0.631,1.189,18.555,-175.964,63.477
0.421,-0.62,1.101,5.859,-179.199,58.228
0.41,-0.648,0.984,1.282,-181.702,53.894
0.4,-0.699,0.846,2.991,-181.946,49.988
0.38,-0.754,0.654,4.272,-179.504,45.288
0.354,-0.805,0.448,2.502,-174.316,39.673
0.297,-0.814,0.27,0.183,-168.335,33.142
0.248,-0.753,0.158,-1.16,-162.048,25.635
0.212,-0.643,0.108,-1.221,-155.457,18.433
0.164,-0.534,0.111,0.977,-149.109,12.573
0.115,-0.471,0.149,6.531,-143.005,7.935
0.073,-0.454,0.142,12.39,-137.512,4.028
0.04,-0.446,0.149,12.756,-131.47,0.183
0.001,-0.458,0.11,14.771,-125.244,-3.723
-0.034,-0.472,0.052,21.179,-117.859,-7.324
-0.069,-0.472,-0.041,27.954,-109.314,-11.658
-0.092,-0.452,-0.119,32.776,-99.548,-16.235
-0.12,-0.409,-0.201,36.926,-89.05,-20.203
-0.159,-0.357,-0.261,39.551,-78.247,-23.376
-0.178,-0.308,-0.302,40.222,-67.139,-25.635
-0.193,-0.29,-0.342,39.429,-55.847,-26.245
