aX,aY,aZ,gX,gY,gZ
-0.656,0.642,0.275,146.301,32.288,-27.954
-0.681,0.715,0.376,131.287,27.527,-27.527
-0.721,0.778,0.476,121.277,22.339,-26.062
-0.715,0.783,0.369,114.014,18.188,-24.292
-0.713,0.826,0.406,108.948,15.137,-21.301
-0.735,0.860,0.501,107.727,11.108,-17.151
-0.694,0.814,0.562,122.681,8.423,-13.306
-0.654,0.699,0.624,139.954,5.432,-10.071
-0.652,0.611,0.625,145.142,-0.122,-8.545
-0.668,0.534,0.568,143.555,-5.371,-8.972
-0.657,0.477,0.525,141.052,-9.521,-11.169
-0.635,0.429,0.458,128.967,-13.245,-14.282
-0.655,0.410,0.501,106.506,-17.456,-17.639
-0.628,0.401,0.519,87.158,-20.996,-21.179
-0.611,0.395,0.499,76.721,-24.231,-25.330
-0.594,0.284,0.591,67.139,-27.893,-29.480
-0.543,0.302,0.713,28.625,-33.264,-35.156
-0.529,0.656,0.654,-23.193,-42.969,-41.748
-0.583,0.515,0.559,-22.400,-50.415,-42.053
-0.699,0.680,0.528,-3.113,-51.392,-44.067
-0.727,0.659,0.478,2.502,-53.162,-42.358
-0.707,0.661,0.498,-1.770,-54.871,-42.480
-0.630,0.724,0.501,-31.128,-59.143,-41.443
-0.546,0.972,0.390,-59.448,-66.345,-41.260
-0.540,0.872,0.426,-45.044,-67.993,-36.560
-0.625,0.936,0.354,-34.607,-67.749,-32.471
-0.605,0.941,0.287,-47.974,-70.251,-25.940
-0.580,0.957,0.295,-63.538,-73.547,-21.240
-0.691,1.013,0.323,-87.097,-74.097,-14.771
-0.726,0.971,0.353,-89.844,-73.608,-8.301
-0.705,0.999,0.349,-85.510,-75.073,-2.686
-0.720,1.060,0.350,-97.168,-78.857,3.784
-0.753,1.133,0.371,-116.028,-82.275,11.902
-0.732,1.198,0.370,-122.986,-84.961,21.057
-0.745,1.161,0.401,-124.207,-87.036,31.189
-0.768,1.150,0.414,-135.864,-89.417,42.358
-0.779,1.180,0.487,-157.776,-92.712,53.894
-0.714,1.240,0.602,-184.204,-95.703,68.054
-0.529,1.160,0.567,-175.964,-98.450,80.872
-0.536,1.037,0.554,-151.672,-101.013,92.896
-0.667,1.017,0.330,-127.686,-106.384,99.854
-0.771,0.876,0.194,-122.925,-109.924,107.849
-0.671,0.772,0.094,-134.155,-110.718,115.295
-0.534,0.560,-0.082,-136.292,-112.244,119.080
-0.451,0.285,-0.220,-118.103,-110.962,117.249
-0.395,0.182,-0.155,-106.995,-109.741,112.122
-0.505,-0.135,-0.104,-55.054,-106.567,103.577
-0.724,-0.707,-0.222,35.583,-101.257,85.449
-0.714,-1.451,-0.691,123.718,-89.417,51.880
-0.520,-1.738,-1.088,132.690,-71.716,5.920
-0.290,-1.111,-0.730,-41.992,-62.744,-33.203
-0.348,-0.582,-0.630,-151.428,-57.434,-59.753
-0.469,0.105,-0.713,-172.485,-55.786,-78.552
-0.525,0.551,-0.868,-181.152,-52.063,-83.984
-0.589,0.901,-1.033,-173.706,-43.945,-78.674
-0.630,1.045,-1.203,-158.691,-30.518,-67.200
-0.688,1.099,-1.380,-149.353,-12.634,-53.528
-0.775,1.090,-1.379,-141.052,8.545,-39.734
-0.769,1.064,-1.308,-107.361,34.119,-28.564
-0.720,0.964,-1.320,-64.453,58.899,-18.677
-0.642,0.886,-0.949,-21.301,79.102,-9.888
-0.654,0.829,-0.803,19.043,90.271,-4.822
-0.635,0.686,-0.626,56.824,101.685,0.732
-0.671,0.649,-0.430,73.730,104.736,4.639
-0.691,0.541,-0.216,82.825,106.934,7.202
-0.717,0.488,0.047,72.083,101.990,8.179
-0.749,0.434,0.234,51.208,92.590,7.019
-0.749,0.393,0.373,35.522,80.566,4.578
-0.759,0.423,0.494,21.301,67.139,1.221
-0.782,0.473,0.557,23.621,52.856,-3.479
-0.801,0.546,0.530,35.522,38.086,-7.446
-0.818,0.627,0.462,32.959,22.217,-9.766
-0.849,0.677,0.361,26.550,8.423,-10.010
-0.869,0.798,0.309,21.973,-2.563,-9.705
-0.802,0.803,0.274,31.250,-9.949,-7.324
