aX,aY,aZ,gX,gY,gZ
0.913,0.326,-0.143,-1.524,1.037,0.854
0.916,0.333,-0.147,-1.951,1.28,0.793
0.913,0.337,-0.145,-2.012,1.341,1.159
0.922,0.332,-0.146,-1.951,1.28,1.098
0.929,0.33,-0.143,-2.073,1.22,1.159
0.928,0.327,-0.142,-2.439,1.341,1.463
0.932,0.327,-0.153,-2.378,1.28,1.646
0.925,0.333,-0.151,-2.378,1.463,1.646
0.926,0.337,-0.152,-2.317,1.89,1.951
0.928,0.33,-0.152,-2.439,2.073,2.134
0.93,0.337,-0.154,-2.5,1.951,2.378
0.925,0.34,-0.153,-2.561,1.768,2.439
0.922,0.335,-0.156,-2.622,1.402,2.683
0.923,0.333,-0.152,-2.744,1.098,2.927
0.919,0.332,-0.146,-2.744,0.671,3.11
0.918,0.337,-0.147,-2.561,0.427,3.171
0.908,0.331,-0.138,-2.561,0.244,3.293
0.911,0.332,-0.136,-2.439,0.244,3.415
0.903,0.331,-0.135,-2.317,0.122,3.476
0.902,0.334,-0.135,-2.317,0,3.415
0.899,0.337,-0.137,-2.378,0.061,3.354
0.896,0.334,-0.131,-2.439,-0.305,3.293
0.895,0.333,-0.131,-2.561,-0.732,3.415
0.901,0.338,-0.129,-2.317,-1.098,3.415
0.904,0.333,-0.123,-2.5,-1.28,3.232
0.902,0.332,-0.125,-2.317,-1.098,3.293
0.902,0.333,-0.12,-2.012,-0.976,3.11
0.912,0.333,-0.119,-2.073,-0.854,2.988
0.916,0.329,-0.119,-2.073,-0.915,3.049
0.912,0.333,-0.114,-2.317,-0.915,2.866
0.916,0.334,-0.111,-2.134,-0.976,2.805
0.917,0.332,-0.115,-2.012,-1.159,2.805
0.917,0.331,-0.115,-2.012,-1.22,2.683
0.923,0.331,-0.116,-1.89,-1.22,2.622
0.927,0.329,-0.117,-1.707,-1.159,2.683
0.932,0.33,-0.118,-1.585,-1.159,2.561
0.936,0.331,-0.114,-1.768,-0.915,2.683
0.933,0.333,-0.111,-1.585,-1.037,2.622
0.932,0.333,-0.111,-1.402,-1.037,2.683
0.931,0.336,-0.108,-1.22,-1.037,2.439
0.935,0.334,-0.11,-1.341,-0.976,2.622
0.932,0.331,-0.108,-1.28,-0.854,2.683
0.933,0.333,-0.112,-1.341,-0.732,2.5
0.928,0.332,-0.111,-1.341,-0.671,2.561
0.925,0.331,-0.115,-1.28,-0.549,2.317
0.932,0.334,-0.108,-1.341,-0.427,2.683
0.93,0.335,-0.107,-1.341,-0.244,2.561
0.927,0.332,-0.112,-1.402,-0.244,2.5
0.926,0.326,-0.106,-1.22,-0.244,2.744
0.928,0.328,-0.11,-0.976,-0.244,2.561
0.93,0.33,-0.11,-0.793,0.244,2.683
0.929,0.329,-0.117,-0.854,0.305,2.866
0.924,0.324,-0.116,-1.037,0.61,2.805
0.921,0.33,-0.11,-0.976,0.732,2.805
0.918,0.329,-0.117,-0.915,0.915,2.866
0.919,0.325,-0.118,-0.976,0.915,2.927
0.917,0.327,-0.113,-0.915,0.915,2.988
0.921,0.33,-0.116,-0.793,0.976,2.988
0.919,0.329,-0.119,-0.732,0.854,2.927
0.924,0.329,-0.115,-0.549,0.854,2.927
0.924,0.327,-0.125,-0.488,0.793,2.866
0.917,0.33,-0.118,-0.549,0.732,2.805
0.915,0.329,-0.119,-0.61,0.793,2.744
0.914,0.331,-0.121,-0.488,0.671,2.805
0.917,0.328,-0.123,-0.366,0.488,2.744
0.914,0.329,-0.121,-0.366,0.244,2.622
0.918,0.327,-0.119,-0.305,0.122,2.317
0.921,0.333,-0.117,-0.244,-0.183,2.134
0.922,0.332,-0.117,-0.183,-0.488,1.951
0.925,0.333,-0.115,0.061,-0.732,1.707
0.925,0.33,-0.115,0.183,-1.037,1.524
0.927,0.328,-0.116,0,-1.28,1.159
0.926,0.328,-0.123,0.061,-1.341,1.037
0.927,0.329,-0.117,0.061,-1.463,0.915
0.931,0.326,-0.118,0.183,-1.646,0.793
0.936,0.32,-0.118,0.366,-1.585,0.549
0.938,0.326,-0.109,0.305,-1.707,0.427
0.939,0.331,-0.115,0.427,-1.707,0
0.946,0.329,-0.119,0.366,-1.707,-0.122
0.947,0.325,-0.113,0.305,-1.768,-0.061
0.949,0.323,-0.112,0.488,-1.829,-0.183
0.955,0.321,-0.112,0.366,-1.768,-0.427
0.955,0.323,-0.112,0.122,-1.646,-0.488
0.954,0.325,-0.112,-0.061,-1.585,-0.488
0.954,0.327,-0.11,-0.061,-1.524,-0.366
0.954,0.325,-0.105,-0.061,-1.402,-0.488
0.956,0.326,-0.106,-0.061,-1.22,-0.427
0.955,0.327,-0.107,0.244,-1.098,-0.183
0.95,0.32,-0.113,0,-1.22,-0.244
0.95,0.32,-0.113,-0.122,-1.524,-0.061
0.953,0.327,-0.115,-0.122,-1.768,0.061
0.941,0.328,-0.118,-0.122,-1.89,0.183
0.939,0.329,-0.119,-0.122,-1.524,0.183
0.938,0.326,-0.116,-0.305,-1.28,0.366
0.937,0.323,-0.122,-0.549,-1.159,0.427
0.929,0.326,-0.117,-0.488,-1.22,0.549
0.929,0.326,-0.126,-0.427,-1.22,0.549
0.927,0.33,-0.129,-0.488,-1.159,0.549
0.926,0.325,-0.121,-0.549,-1.037,0.549
0.922,0.326,-0.124,-0.488,-1.28,0.61
0.918,0.327,-0.124,-0.488,-1.341,0.549
0.919,0.332,-0.128,-0.122,-1.524,0.61
0.916,0.333,-0.133,0,-1.585,0.427
0.917,0.328,-0.128,0.061,-1.524,0.183
0.914,0.328,-0.123,0.244,-1.524,0.122
0.91,0.326,-0.122,0.122,-1.463,0
0.905,0.329,-0.123,0.244,-1.524,-0.061
0.914,0.328,-0.124,0.549,-1.28,-0.061
0.919,0.325,-0.119,0.732,-1.22,-0.061
0.92,0.324,-0.12,0.793,-1.159,-0.427
0.92,0.327,-0.12,0.854,-1.22,-0.427
0.919,0.324,-0.119,0.976,-1.341,-0.549
0.926,0.319,-0.113,0.915,-1.341,-0.488
0.928,0.326,-0.108,1.037,-1.22,-0.366
0.93,0.326,-0.108,1.22,-1.159,-0.305
0.938,0.324,-0.105,1.098,-1.22,-0.305
0.938,0.328,-0.107,1.037,-1.037,-0.305
0.938,0.331,-0.11,1.22,-0.854,0
0.938,0.326,-0.106,1.28,-0.793,0.244
0.937,0.327,-0.109,0.976,-0.793,0.549
0.934,0.328,-0.108,1.037,-0.732,0.427
0.935,0.328,-0.104,1.037,-0.61,0.549
0.931,0.327,-0.108,0.61,-0.732,0.915
0.932,0.328,-0.11,0.427,-0.61,1.037
0.927,0.329,-0.105,0.488,-0.488,1.098
0.925,0.331,-0.109,0.549,-0.427,1.341
0.921,0.329,-0.112,0.183,-0.366,1.463
0.921,0.324,-0.115,-0.122,-0.549,1.463
0.914,0.328,-0.112,-0.366,-0.854,1.402
0.915,0.326,-0.121,-0.671,-0.793,1.402
0.913,0.326,-0.118,-0.915,-1.037,1.28
0.908,0.327,-0.12,-1.22,-1.098,0.976
0.908,0.325,-0.127,-1.463,-1.037,0.854
0.905,0.328,-0.129,-1.463,-1.098,0.61
0.908,0.325,-0.131,-1.463,-0.854,0.427
0.904,0.326,-0.138,-1.585,-0.915,0.244
0.906,0.326,-0.14,-1.463,-0.854,-0.183
0.912,0.32,-0.138,-1.646,-0.854,-0.488
0.914,0.319,-0.14,-1.463,-0.732,-0.671
0.916,0.318,-0.141,-1.22,-0.61,-0.854
0.922,0.314,-0.147,-1.098,-0.305,-0.976
0.933,0.313,-0.146,-0.976,-0.244,-1.28
0.937,0.317,-0.146,-0.61,-0.122,-1.28
0.939,0.314,-0.139,-0.793,0.244,-1.463
0.944,0.317,-0.14,-0.793,0.793,-1.463
0.949,0.317,-0.14,-0.488,1.22,-1.463
0.947,0.313,-0.133,-0.549,1.585,-1.28
0.957,0.316,-0.131,-0.244,2.012,-1.402
0.957,0.318,-0.123,-0.488,2.683,-1.341
0.958,0.314,-0.125,-0.793,2.805,-1.037
0.954,0.314,-0.122,-0.732,2.744,-0.793
0.959,0.316,-0.115,-1.098,2.622,-0.61
0.952,0.317,-0.109,-1.098,2.561,-0.61
0.947,0.32,-0.111,-1.22,2.5,-0.183
0.943,0.319,-0.117,-1.646,2.622,0.183
0.934,0.322,-0.117,-1.585,2.622,0.305
0.932,0.324,-0.114,-1.707,2.805,0.366
0.931,0.322,-0.114,-1.707,3.11,0.61
0.919,0.324,-0.117,-1.951,2.988,0.671
0.92,0.323,-0.124,-2.5,2.866,0.793
0.909,0.321,-0.119,-2.561,2.683,0.976
0.908,0.323,-0.122,-2.866,2.134,1.159
0.902,0.323,-0.13,-2.988,1.89,1.22
0.904,0.321,-0.133,-3.11,1.768,1.159
0.902,0.317,-0.132,-3.11,1.768,1.037
0.901,0.322,-0.135,-3.476,1.707,0.976
0.902,0.326,-0.138,-3.415,1.829,1.098
0.899,0.32,-0.134,-3.598,2.012,0.976
0.9,0.322,-0.133,-3.841,2.439,0.732
0.902,0.322,-0.135,-3.72,2.927,0.671
0.904,0.323,-0.141,-3.78,3.415,0.793
0.908,0.324,-0.143,-3.72,3.293,0.854
0.915,0.325,-0.144,-3.902,2.866,0.793
0.918,0.323,-0.138,-4.085,2.927,0.671
0.919,0.323,-0.139,-4.024,2.744,0.732
0.923,0.322,-0.138,-4.024,2.5,0.854
0.918,0.327,-0.138,-4.085,2.439,0.732
0.918,0.329,-0.135,-3.902,2.439,0.732
0.922,0.325,-0.134,-3.902,2.622,1.098
0.922,0.324,-0.135,-3.841,2.5,1.28
0.923,0.329,-0.131,-3.841,2.134,1.098
0.923,0.324,-0.13,-3.72,2.073,1.524
0.921,0.325,-0.125,-3.293,1.829,1.646
0.925,0.331,-0.125,-3.293,1.707,1.768
0.929,0.332,-0.117,-3.293,1.829,1.768
0.929,0.329,-0.118,-3.232,1.89,2.012
0.925,0.333,-0.11,-2.744,1.402,2.317
0.922,0.332,-0.114,-2.561,0.793,2.317
0.918,0.336,-0.108,-2.683,0.305,2.378
0.919,0.331,-0.108,-2.561,-0.183,2.317
0.914,0.333,-0.1,-2.5,-0.671,2.561
0.914,0.335,-0.1,-2.317,-0.732,2.622
0.912,0.331,-0.097,-2.012,-0.732,2.378
0.914,0.335,-0.098,-1.707,-0.732,2.622
0.914,0.343,-0.101,-1.585,-0.427,2.5
0.912,0.335,-0.099,-1.463,-0.61,2.256
0.917,0.333,-0.093,-1.402,-0.732,2.012
0.912,0.339,-0.091,-1.341,-0.854,2.012
0.902,0.34,-0.09,-1.22,-0.915,1.646
0.912,0.336,-0.092,-1.098,-1.098,1.585
0.917,0.333,-0.097,-1.159,-0.976,1.341
0.923,0.332,-0.091,-0.915,-0.732,1.159
0.922,0.331,-0.087,-0.915,-0.427,0.915
0.924,0.332,-0.091,-0.915,-0.061,0.61
0.934,0.334,-0.093,-1.037,0,0.427
0.934,0.334,-0.092,-1.037,0.122,0.305
0.936,0.335,-0.087,-0.976,0.488,0.122
0.935,0.335,-0.089,-0.915,0.671,-0.122
0.944,0.332,-0.092,-1.098,0.854,-0.183
0.945,0.331,-0.096,-1.159,1.159,-0.366
0.949,0.331,-0.105,-1.28,1.28,-0.61
0.952,0.326,-0.102,-1.28,1.341,-0.732
0.953,0.327,-0.094,-1.22,1.524,-0.793
0.952,0.329,-0.102,-1.159,1.768,-0.732
0.953,0.327,-0.104,-1.22,1.768,-0.976
0.952,0.322,-0.109,-1.22,1.707,-1.098
0.947,0.326,-0.109,-1.28,1.463,-1.098
0.948,0.322,-0.108,-0.915,0.915,-1.28
0.949,0.321,-0.119,-1.159,0.793,-1.585
0.945,0.318,-0.111,-1.22,0.793,-1.585
0.943,0.316,-0.113,-0.915,0.488,-1.89
0.942,0.319,-0.12,-0.671,0.305,-2.073
0.94,0.318,-0.115,-0.976,-0.061,-2.073
0.94,0.317,-0.114,-0.793,-0.366,-2.439
0.945,0.32,-0.117,-0.732,-0.488,-2.5
0.946,0.318,-0.112,-0.61,-0.61,-2.622
0.943,0.315,-0.114,-0.488,-0.793,-2.866
0.94,0.317,-0.111,-0.427,-1.037,-2.927
0.945,0.319,-0.11,-0.427,-1.098,-3.049
0.95,0.316,-0.108,-0.366,-0.915,-2.927
0.947,0.319,-0.106,-0.244,-0.671,-2.927
0.948,0.322,-0.111,-0.305,-0.488,-2.927
0.95,0.326,-0.107,-0.122,-0.183,-3.11
0.95,0.324,-0.105,-0.061,-0.244,-2.988
0.949,0.324,-0.099,-0.061,-0.366,-2.927
0.951,0.322,-0.104,0,-0.549,-2.866
0.951,0.326,-0.104,0.305,-0.427,-2.744
0.948,0.329,-0.104,0.122,-0.244,-2.622
0.941,0.331,-0.098,0.183,0,-2.5
0.938,0.331,-0.098,0.488,0.183,-2.439
0.942,0.329,-0.095,0.732,-0.244,-2.317
0.937,0.333,-0.097,0.793,-0.305,-2.073
