aX,aY,aZ,gX,gY,gZ
-0.967,0.066,-0.28,4.39,-1.585,0.915
-0.964,0.07,-0.272,2.744,3.232,0.061
-0.968,0.069,-0.265,0.976,4.695,0.732
-0.963,0.069,-0.268,0.122,-0.122,1.951
-0.961,0.07,-0.267,-1.22,-8.537,3.659
-0.967,0.069,-0.27,-1.402,-13.354,4.268
-0.965,0.072,-0.275,-1.89,-10.915,3.598
-0.972,0.067,-0.286,-2.5,-4.146,1.829
-0.976,0.063,-0.287,-1.951,-1.22,0.793
-0.97,0.067,-0.293,-1.463,-6.951,1.341
-0.969,0.066,-0.303,-0.732,-11.768,1.89
-0.967,0.065,-0.313,-1.402,-9.695,1.768
-0.95,0.065,-0.331,-2.561,-2.805,1.159
-0.971,0.061,-0.366,-3.354,1.707,0.488
-1.014,0.05,-0.367,-3.476,-0.244,0.732
-1.01,0.033,-0.408,-2.744,-4.634,1.28
-0.992,0.042,-0.455,-2.439,-5.488,0.854
-0.953,0.037,-0.446,-2.561,-2.439,-0.427
-0.941,0.05,-0.401,-2.256,0.183,-1.524
-0.945,0.059,-0.334,-1.89,-0.122,-1.768
