,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,beat_change,beat,dynamic,x,y,z,dist
15129,-0.42,-0.23399999999999999,-1.548,-83.72,-8.11,-56.28,None,2,n,-0.09533587555112051,-0.08517739100190395,0.6847655560509539,0.9668101456894743
15130,-0.424,-0.235,-1.524,-84.512,-7.987999999999999,-54.93899999999999,None,2,n,-0.09604983495129296,-0.08608691986693709,0.6944474196708443,0.9750664794545082
15131,-0.43799999999999994,-0.237,-1.514,-85.61,-7.5,-53.902,None,2,n,-0.09674918619358912,-0.08700554976486292,0.7042132191548117,0.983380966922393
15132,-0.446,-0.233,-1.4980000000000002,-86.463,-6.9510000000000005,-52.86600000000001,None,2,n,-0.09743331229582194,-0.08793370889557732,0.7140630958450418,0.9917135610065164
15133,-0.451,-0.231,-1.483,-87.744,-6.646,-51.646,None,2,n,-0.09810179599147492,-0.08887171875450336,0.7239969958726665,1.0000455124925014
15134,-0.457,-0.24100000000000002,-1.469,-89.024,-6.402,-50.36600000000001,None,2,n,-0.09875444669825949,-0.08981964379607156,0.7340149369626492,1.008383153924447
15135,-0.47100000000000003,-0.235,-1.452,-89.87799999999999,-6.28,-49.023999999999994,None,2,n,-0.09939028530334602,-0.09077809482570766,0.7441174669330199,1.016779380741802
15136,-0.483,-0.23399999999999999,-1.432,-91.037,-6.22,-47.744,None,2,n,-0.10000854809573977,-0.09174752995627061,0.7543049959973214,1.0252209605193137
15137,-0.49,-0.231,-1.423,-92.073,-6.098,-46.159,None,2,n,-0.10060869274559275,-0.0927283385405824,0.7645776307662067,1.0336787904117886
15138,-0.5,-0.228,-1.416,-93.537,-6.341,-44.817,None,2,n,-0.10119002199863632,-0.09372097603464466,0.7749356820281682,1.042173204608934
15139,-0.509,-0.221,-1.411,-94.81700000000001,-6.7070000000000025,-43.659,None,2,n,-0.10175179353239984,-0.0947259742627468,0.7853793962710662,1.0506987003035009
15140,-0.521,-0.222,-1.4040000000000001,-95.54899999999999,-7.195,-42.195,None,2,n,-0.1022932990531502,-0.09574374315466447,0.7959092183042888,1.0592744394051
15141,-0.536,-0.221,-1.396,-96.829,-7.5,-41.037,None,2,n,-0.10281362700016461,-0.09677480958574175,0.8065257920794394,1.0679207736576415
15142,-0.541,-0.221,-1.393,-97.805,-7.317,-39.817,None,2,n,-0.10331240113468836,-0.09781945939750153,0.8172290961655637,1.076572279164408
15143,-0.552,-0.22,-1.391,-98.78,-7.805,-38.232,None,2,n,-0.10378891275942238,-0.09887813547357993,0.8280195108029246,1.085269120581337
15144,-0.563,-0.217,-1.3869999999999998,-99.634,-8.293,-36.646,None,2,n,-0.10424240154921606,-0.09995133268700687,0.8388974136499094,1.0940117672576348
15145,-0.575,-0.21600000000000005,-1.383,-100.671,-8.232000000000001,-35.305,None,2,n,-0.10467210218519672,-0.10103952231326782,0.8498632475814695,1.1028069328482546
15146,-0.5870000000000001,-0.215,-1.375,-101.524,-7.317,-33.902,None,2,n,-0.10507724575022401,-0.1021431787027067,0.8609174531910275,1.1116548942572828
15147,-0.5920000000000001,-0.214,-1.3769999999999998,-102.561,-6.585,-32.561,None,2,n,-0.10545741423616514,-0.10326262483592766,0.8720599967282795,1.1205086532572686
15148,-0.602,-0.209,-1.376,-103.29299999999999,-6.098,-31.22,None,2,n,-0.10581183327255432,-0.10439839572606588,0.8832911771871728,1.1294025095972928
15149,-0.604,-0.207,-1.3730000000000002,-104.085,-6.768,-29.451,None,2,n,-0.10614020572169569,-0.10555077535932336,0.8946107556895521,1.138282323310124
15150,-0.61,-0.20600000000000002,-1.367,-104.695,-7.744,-28.049,None,2,n,-0.10644205716007661,-0.10672011059611675,0.9060187659399244,1.1471754750667345
15151,-0.603,-0.196,-1.354,-105.366,-8.171,-26.646,None,2,n,-0.10671734991299214,-0.1079066770539736,0.91751437845794,1.155996683486062
15152,-0.604,-0.19399999999999998,-1.3530000000000002,-106.34100000000001,-7.8660000000000005,-25.305,None,2,n,-0.10696582892477229,-0.10911073800860835,0.9290972836023736,1.164796961649187
15153,-0.604,-0.18899999999999997,-1.347,-107.073,-6.768,-24.573,None,2,n,-0.10718721485030719,-0.11033260716972289,0.9407671100720141,1.1735707298941473
15154,-0.61,-0.182,-1.3359999999999999,-107.439,-5.244,-23.537,None,2,n,-0.10738087765324214,-0.11157277883753745,0.9525239007992548,1.1823606017244608
15155,-0.613,-0.18600000000000005,-1.3259999999999998,-107.927,-4.512,-22.439,None,2,n,-0.10754661249008587,-0.11283140387361587,0.9643674970681452,1.1911438939022527
15156,-0.611,-0.183,-1.318,-108.598,-4.268,-21.098000000000006,None,2,n,-0.10768428697724589,-0.11410869692412907,0.976297400319214,1.1998875921567234
